[SCAN]              	agoraphobic_travis (SCAN:0699235f1a57f368b5f4938646ab844c0e23f7a3)	TARGET	(in-scope, target)
[DNS_NAME]          	asojuku.ac.jp	TARGET	(a-record, domain, in-scope, mx-record, ns-record, soa-record, target, txt-record)
[DNS_NAME]          	02.dnsv.jp	NS	(a-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	03.dnsv.jp	NS	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	04.dnsv.jp	NS	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	01.dnsv.jp	SOA	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[ORG_STUB]          	asojuku	speculate	(in-scope)
[DNS_NAME]          	01.dnsv.jp	NS	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	asojuku-ac-jp.mail.protection.outlook.com	MX	(a-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	mail.asojuku.ac.jp	MX	(a-record, in-scope, subdomain)
[TECHNOLOGY]        	{"host": "asojuku.ac.jp", "technology": "cpe:/a:apache:http_server"}	internetdb	(in-scope)
[DNS_NAME]          	asojuku.ac.jp	speculate	(a-record, domain, in-scope, mx-record, ns-record, soa-record, txt-record)
[DNS_NAME]          	recruit.asojuku.ac.jp	otx	(a-record, in-scope, subdomain)
[DNS_NAME]          	entry-anc.asojuku.ac.jp	otx	(a-record, in-scope, subdomain)
[DNS_NAME]          	entry-arc.asojuku.ac.jp	otx	(a-record, in-scope, subdomain)
[DNS_NAME]          	tracking.asojuku.ac.jp	otx	(a-record, cloud-amazon, cname-record, in-scope, subdomain)
[DNS_NAME]          	apc.asojuku.ac.jp	otx	(a-record, in-scope, subdomain)
[DNS_NAME]          	www.asojuku.ac.jp	otx	(a-record, in-scope, subdomain)
[DNS_NAME]          	emailtracking.email-messaging.com	CNAME	(a-record, affiliate, cloud-amazon, cname-record, distance-1, subdomain)
[TECHNOLOGY]        	{"host": "www.asojuku.ac.jp", "technology": "cpe:/a:apache:http_server"}	internetdb	(in-scope)
[DNS_NAME]          	asojuku.ac.jp	internetdb	(a-record, domain, in-scope, mx-record, ns-record, soa-record, txt-record)
[DNS_NAME]          	tracking.asojuku.ac.jp	certspotter	(a-record, cloud-amazon, cname-record, in-scope, subdomain)
